name	wikipedia_url	yelp_url	review_count	rating	street	city	zip	fulladdress	phone	website	suggested	fee	free	membership	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	effective_hours	closed_until	twitter_url	facebook_url	youtube_url	blog_url	flickr_url	photography	lat	lng
Center for Architecture	http://en.wikipedia.org/wiki/Center_for_Architecture	http://yelp.com/biz/center-for-architecture-new-york	2	4.5	536 LaGuardia Place	Manhattan	10012	536 LaGuardia Place, Manhattan 10012	(212) 683-0023	http://cfa.aiany.org/index.php?section=center-for-architecture		0				0900-2000	0900-2000	0900-2000	0900-2000	0900-2000	1100-1700			https://twitter.com/CenterForArch	http://www.facebook.com/CenterforArchitecture					40.728787	-73.9984939
Center for Jewish History	http://en.wikipedia.org/wiki/Center_for_Jewish_History	http://yelp.com/biz/the-center-for-jewish-history-new-york	1	4	15 W 16th Street	Manhattan	10011	15 W 16th Street, Manhattan 10011	(917) 661-4041	http://www.cjh.org/		0			1100-1700	0930-2000	0930-1700	0930-2000	0930-1700	0930-1500							http://rss.cjh.org/			40.7380256	-73.9938436
White Columns	http://en.wikipedia.org/wiki/White_Columns	http://yelp.com/biz/white-columns-new-york	1	5	320 W 13th Street	Manhattan	10014	320 W 13th Street, Manhattan 10014	(212) 924-4212	http://www.whitecolumns.org/		0					1200-1800	1200-1800	1200-1800	1200-1800	1200-1800									40.739315	-74.004014
Rubin Museum of Art	http://en.wikipedia.org/wiki/Rubin_Museum_of_Art	http://yelp.com/biz/rubin-museum-of-art-new-york	64	4.5	150 W 17th Street	Manhattan	10011	150 W 17th Street, Manhattan 10011	(212) 620-5000	http://www.rmanyc.org		10	5:1800-2200	65	1100-1800	1100-1700		1100-1900	1100-1700	1100-2200	1100-1800			http://twitter.com/rubinmuseum	http://www.facebook.com/pages/New-York-NY/Rubin-Museum-of-Art/15263636974	http://www.youtube.com/user/RubinMuseum				40.7400185	-73.9977962
Museum of Sex	http://en.wikipedia.org/wiki/Museum_of_Sex	http://yelp.com/biz/museum-of-sex-new-york	194	3	233 Fifth Ave	Manhattan	10016	233 Fifth Ave, Manhattan 10016	(212) 689-6337	http://www.museumofsex.com		16.75		35	1000-2000	1000-2000	1000-2000	1000-2000	1000-2000	1000-2100	1000-2100			http://twitter.com/museumofsex	http://facebook.com/mosex					40.744029	-73.98735
Korea Society	http://en.wikipedia.org/wiki/Korea_Society	http://yelp.com/biz/the-korea-society-new-york			950 3rd Ave 8th Fl	Manhattan	10022	950 3rd Ave 8th Fl, Manhattan 10022	(212) 759-7525	http://www.koreasociety.org		0		25		1000-1700	1000-1700	1000-1700	1000-1700	1000-1700				http://www.twitter.com/koreasociety	http://www.facebook.com/koreasociety					40.7521563	-73.9641376
New York Transit Gallery Annex	http://en.wikipedia.org/wiki/New_York_Transit_Museum				40 East 45th Street 	Manhattan	10017		(212) 878-0106	http://mta.info/mta/museum/whatsnew.htm		0		0	1000-1800	0800-2000	0800-2000	0800-2000	0800-2000	0800-2000	1000-1800									40.754734	-73.977581
Madame Tussauds Wax Museum	http://en.wikipedia.org/wiki/Madame_Tussauds	http://yelp.com/biz/madame-tussauds-new-york-new-york	85	4	234 W 42nd St	Manhattan	10036	234 W 42nd St, Manhattan 10036	(212) 512-9600	http://www.nycwax.com		35			1000-2000	1000-2000	1000-2000	1000-2000	1000-2000	1000-2200	1000-2200									40.756392	-73.988307
Museum of Modern Art	http://en.wikipedia.org/wiki/Museum_of_Modern_Art	http://yelp.com/biz/museum-of-modern-art-new-york	592	4.5	11 W 53rd St	Manhattan	10019	11 W 53rd St, Manhattan 10019	(212) 708-9400	http://www.moma.org		20	5:1600-2000	75	1030-1730	1030-1730		1030-1730	1030-1730	1030-2000	1030-1730			http://twitter.com/MuseumModernArt	http://www.facebook.com/MuseumofModernArt					40.7614006	-73.9776211
Intrepid Sea-Air-Space Museum	http://en.wikipedia.org/wiki/Intrepid_Sea-Air-Space_Museum	http://yelp.com/biz/intrepid-sea-air-and-space-museum-new-york	61	4	W 46th St & 12th Ave. Pier 86	Manhattan	10036	W 46th St & 12th Ave. Pier 86, Manhattan 10036	(212) 245-0072	http://www.intrepidmuseum.org		24		90	1000-1700		1000-1700	1000-1700	1000-1700	1000-1700	1000-1700	1101-0331		http://www.twitter.com/IntrepidMuseum	http://www.facebook.com/IntrepidMuseum				Yes	40.7651023	-74.0023612
Central Park Zoo	http://en.wikipedia.org/wiki/Central_Park_Zoo	http://yelp.com/biz/central-park-zoo-new-york-6	91	4	830 5th Ave	Manhattan	10021	830 5th Ave, Manhattan 10021	(212) 439-6500	http://www.centralparkzoo.com/		12		83	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1101-0401			http://www.facebook.com/pages/New-York-NY/Central-Park-Zoo/102808379761333					40.767393	-73.970695
Asia Society	http://en.wikipedia.org/wiki/Asia_Society	http://yelp.com/biz/the-asia-society-new-york	2	4.5	725 Park Ave	Manhattan	10021	725 Park Ave, Manhattan 10021	(212) 327-9211	http://asiasociety.org/arts-culture/asia-society-museum		10	5:1800-2100;*Except from July to Labor Day	65	1100-1800		1100-1800	1100-1800	1100-1800	1100-2100	1100-1800						http://asiasociety.org/blog/re-asia			40.7700263	-73.9645103
Museum of Biblical Art	http://en.wikipedia.org/wiki/Museum_of_Biblical_Art	http://yelp.com/biz/museum-of-biblical-art-new-york	5	4	1865 Broadway	Manhattan	10023	1865 Broadway, Manhattan 10023	(212) 408-1500	http://www.mobia.org/	TRUE	7		50	1000-1800		1000-1800	1000-1800	1000-2000	1000-1800	1000-1800								No	40.770272	-73.982802
Frick Collection	http://en.wikipedia.org/wiki/Frick_Collection	http://yelp.com/biz/frick-collection-new-york	131	5	1 E 70th St	Manhattan	10021	1 E 70th St, Manhattan 10021	(212) 288-0700	http://www.frick.org																				40.771182	-73.967857
Whitney Museum of American Art	http://en.wikipedia.org/wiki/Whitney_Museum_of_American_Art	http://yelp.com/biz/whitney-museum-of-american-art-new-york	110	4	945 Madison Ave	Manhattan	10021	945 Madison Ave, Manhattan 10021	(212) 570-3600	http://www.whitney.org		18		85	1100-1700			1100-1700	1100-1700	1300-2100	1100-1700									40.773343	-73.963598
International Print Center New York	http://en.wikipedia.org/wiki/International_Print_Center_New_York	http://yelp.com/biz/international-print-center-new-york-new-york			508 West 26th Street, Rm. 5A	Manhattan	10001	508 West 26th Street, Rm. 5A, Manhattan 10001	(212) 989-5090	http://www.ipcny.org		0		100			1100-1800	1100-1800	1100-1800	1100-1800	1100-1800									40.749866	-74.00305
Metropolitan Museum of Art	http://en.wikipedia.org/wiki/Metropolitan_Museum_of_Art	http://yelp.com/biz/metropolitan-museum-of-art-new-york	719	5	1000 5th Ave	Manhattan	10028	1000 5th Ave, Manhattan 10028	(212) 535-7710	http://www.metmuseum.org	TRUE	20		70	0930-1730		0930-1730	0930-1730	0930-1730	0930-2100	0930-2100			http://www.twitter.com/metmuseum	http://www.facebook.com/metmuseum	http://www.youtube.com/user/metmuseum				40.7791544	-73.962697
American Museum of Natural History	http://en.wikipedia.org/wiki/American_Museum_of_Natural_History	http://yelp.com/biz/american-museum-of-natural-history-new-york	450	4.5	Central Park W at 79th St	Manhattan	10024	Central Park W at 79th St, Manhattan 10024	(212) 769-5100	http://www.amnh.org	TRUE	16		70	1000-1745	1000-1745	1000-1745	1000-1745	1000-1745	1000-1745	1000-1745			http://twitter.com/amnh	http://www.facebook.com/naturalhistory	http://www.youtube.com/user/AMNHorg				40.7820286	-73.9717052
Solomon R. Guggenheim Museum	http://en.wikipedia.org/wiki/Solomon_R._Guggenheim	http://yelp.com/biz/guggenheim-museum-new-york	263	3.5	1071 5th Ave	Manhattan	10128	1071 5th Ave, Manhattan 10128	(212) 423-3500	http://www.guggenheim.org		18		75	1000-1745	1000-1745	1000-1745	1000-1745		1000-1745	1000-1945									40.782979	-73.958867
Cooper-Hewitt, National Design Museum	http://en.wikipedia.org/wiki/Cooper-Hewitt,_National_Design_Museum	http://yelp.com/biz/cooper-hewitt-museum-new-york	62	3.5	2 East &nbsp; 91st Street	Manhattan	10128	2 East &nbsp; 91st Street, Manhattan 10128	(212) 849-8400	http://www.cooperhewitt.org		10		75	1100-1800	1000-1700	1000-1700	1000-1700	1000-1700	1000-1700	1000-1800			http://www.twitter.com/cooperhewitt	http://www.facebook.com/pages/New-York-NY/Cooper-Hewitt-National-Design-Museum/5974621763	http://youtube.com/cooperhewitt	http://blog.cooperhewitt.org/			40.784376	-73.958244
El Museo del Barrio	http://en.wikipedia.org/wiki/El_Museo_del_Barrio	http://yelp.com/biz/el-museo-del-barrio-new-york	21	4	1230 5th Ave	Manhattan	10029	1230 5th Ave, Manhattan 10029	(212) 831-7272	http://www.elmuseo.org	TRUE	9		50	1300-1700		1100-1800	1100-2100	1100-1800	1100-1800	1100-1800									40.793093	-73.951368
The Cloisters	http://en.wikipedia.org/wiki/The_Cloisters	http://yelp.com/biz/the-cloisters-new-york-2	180	4.5	99 Margaret Corbin Dr	Manhattan	10040	99 Margaret Corbin Dr, Manhattan 10040	(212) 923-3700	http://www.metmuseum.org/cloisters/	TRUE	20		70	0930-1715		0930-1715	0930-1715	0930-1715	0930-1715	0930-1715									40.864848	-73.931808
Jamaica Bay Wildlife Refuge	http://en.wikipedia.org/wiki/Jamaica_Bay_Wildlife_Refuge	http://yelp.com/biz/jamaica-bay-wildlife-refuge-queens	4	5	Broad Channel	Queens	11693	Broad Channel, Queens 11693	(718) 318-4340	http://www.nyharborparks.org/visit/jaba.html		0			0800-1900	0800-1900	0800-1900	0800-1900	0800-1900	0800-1900	0800-1900									40.5853093	-73.8170614
Queens Museum of Art	http://en.wikipedia.org/wiki/Queens_Museum_of_Art	http://yelp.com/biz/queens-museum-of-art-queens	22	4.5	New York City Building, Flushing Meadows Corona Park	Queens	11368	New York City Building, Flushing Meadows Corona Park, Queens 11368	(718) 592-9700	http://www.queensmuseum.org	TRUE	5		20	1200-1800			1200-1800	1200-1800	1200-1800	1200-1800			http://twitter.com/QueensMuseum	http://www.facebook.com/QueensMuseum	http://www.youtube.com/QueensMuseum	http://www.queensmuseum.org/wp-content/plugins/qma_exhibitions/qma-exhibitions-rss.php	http://www.flickr.com/photos/panoramaqueensmuseum/		40.7427051	-73.8447762
Queens Zoo	http://en.wikipedia.org/wiki/Queens_Zoo	http://yelp.com/biz/queens-zoo-corona	14	4	5351 111th St	Queens	11368	5351 111th St, Queens 11368	(718) 271-1500	http://www.queenszoo.com		8		83	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1101-0401			http://www.facebook.com/pages/Flushing-NY/Queens-Zoo/109249352433224?ref=ts					40.7432094	-73.8512809
SculptureCenter	http://en.wikipedia.org/wiki/SculptureCenter	http://yelp.com/biz/sculpture-center-long-island-city-2	5	4	44-19 Purves St	Queens	11101	44-19 Purves St, Queens 11101	(718) 361-1750	http://www.sculpture-center.org	TRUE	5		50	1100-1800				1100-1800	1100-1800	1100-1800									40.7468992	-73.9411106
New York Hall of Science	http://en.wikipedia.org/wiki/New_York_Hall_of_Science	http://yelp.com/biz/new-york-hall-of-science-corona	24	4.5	47-01 111th Street	Queens	11368	47-01 111th Street, Queens 11368	(718) 699-0005	http://www.nysci.org/		11	5:1400-1700;*Except July, Aug.t|0:1000-1100;**Except July,Aug.	40	1000-1800		0930-1400	0930-1400	0930-1400	0930-1700	1000-1800	0901-0331		http://twitter.com/nysci	http://www.facebook.com/nysci					40.7479008	-73.8518416
Queens County Farm Museum	http://en.wikipedia.org/wiki/Queens_County_Farm_Museum	http://yelp.com/biz/queens-county-farm-museum-floral-park	23	4	73-50 Little Neck Pkwy	Queens	11004	73-50 Little Neck Pkwy, Queens 11004	(718) 347-3276	http://www.queensfarm.org																				40.747939	-73.723576
Queens Botanical Garden	http://en.wikipedia.org/wiki/Queens_Botanical_Garden	http://yelp.com/biz/queens-botanical-garden-flushing	15	3.5	4350 Main St	Queens	11355	4350 Main St, Queens 11355	(718) 886-3800	http://www.queensbotanical.org		0	**From Nov.1 to 3/31	50	0800-1630		0800-1630	0800-1630	0800-1630	0800-1630	0800-1630	1101-0331		http://twitter.com/queensbotanicl	http://www.facebook.com/home.php#/queensbotanical?ref=nf		http://queensbotanical.wordpress.com/			40.7515377	-73.826164
Louis Armstrong House	http://en.wikipedia.org/wiki/Louis_Armstrong_House	http://yelp.com/biz/louis-armstrong-house-museum-corona	4	5	3456 107th St	Queens	11368	3456 107th St, Queens 11368	(718) 478-8274	http://www.louisarmstronghouse.org		8		45	1200-1700		1000-1700	1000-1700	1000-1700	1000-1700	1200-1700				http://www.facebook.com/louisarmstronghousemuseum					40.754581	-73.861598
The Noguchi Museum	http://en.wikipedia.org/wiki/Noguchi_Museum	http://yelp.com/biz/the-noguchi-museum-long-island-city	39	4.5	9-01 33rd Rd	Queens	11106	9-01 33rd Rd, Queens 11106	(718) 204-7088	http://www.noguchi.org		10	5:1000-1700;1	75	1100-1800			1000-1700	1000-1700	1000-1700	1100-1800									40.7667529	-73.9384089
Conference House Museum	http://en.wikipedia.org/wiki/Conference_House	http://yelp.com/biz/conference-house-association-inc-staten-island	1	5	70 Satterlee St	Staten Island	10307	70 Satterlee St, Staten Island 10307	(718) 984-6046	http://www.conferencehouse.org/index.html		3		25	1300-1700					1300-1700	1300-1700	0401-1215								40.505612	-74.254278
Historic Richmond Town	http://en.wikipedia.org/wiki/Historic_Richmond_Town	http://yelp.com/biz/historic-richmond-town-staten-island	3	4.5	441 Clarke Avenue	Staten Island	10306	441 Clarke Avenue, Staten Island 10306	(718) 351-1611	http://www.historicrichmondtown.org/		5		35	1300-1700			1300-1700	1300-1700	1300-1700	1300-1700				http://www.facebook.com/historicrichmondtown					40.5699132	-74.1448249
Jacques Marchais Museum of Tibetan Art	http://en.wikipedia.org/wiki/Jacques_Marchais_Museum_of_Tibetan_Art	http://yelp.com/biz/jacques-marchais-museum-of-tibetan-art-staten-island	3	5	338 Lighthouse Ave	Staten Island	10306	338 Lighthouse Ave, Staten Island 10306	(718) 987-3500	http://www.tibetanmuseum.org/		6		45	1300-1700				1300-1700	1300-1700	1300-1700									40.5763672	-74.1383741
Staten Island Zoo	http://en.wikipedia.org/wiki/Staten_Island_Zoo	http://yelp.com/biz/staten-island-zoo-staten-island	5	4	614 Broadway	Staten Island	10310	614 Broadway, Staten Island 10310	(718) 442-3100	http://www.statenislandzoo.org		8	3:1400-1645	45	1000-1645	1000-1645	1000-1645	1000-1645	1000-1645	1000-1645	1000-1645									40.6258174	-74.1147527
Snug Harbor Cultural Center and Botanical Garden	http://en.wikipedia.org/wiki/Staten_Island_Botanical_Garden	http://yelp.com/biz/snug-harbor-cultural-center-staten-island	8	4.5	1000 Richmond Ter	Staten Island	10301	1000 Richmond Ter, Staten Island 10301	(718) 273-8200	http://www.snug-harbor.org/index.html		6		45	1000-1630		0800-1630	0800-1630	0800-1630	0800-1630	1000-1630	1106-0313								40.6411146	-74.1030514
Staten Island Children's Museum	http://en.wikipedia.org/wiki/Staten_Island_Children%27s_Museum	http://yelp.com/biz/staten-island-childrens-museum-staten-island	6	4.5	1000 Richmond Terrace	Staten Island	10301	1000 Richmond Terrace, Staten Island 10301	(718) 273-2060	http://www.statenislandkids.org/		6		75	1000-1700	1200-1700	1200-1700	1200-1700	1200-1700	1200-1700	1000-1700									40.6411146	-74.1030514
